x,y,z,type,volume
-8.97529,-30.0237,-54.3384,default,9.80216
-9.12349,-14.0305,-55.4416,default,8.61231
-7.00974,0.291779,-56.8387,default,8.5
-5.7966,21.2724,-55.0929,default,10.3787
-8.51183,36.842,-55.6116,default,10.3709
-5.7959,54.9486,-55.1889,default,10.4463
-9.05592,70.2441,-55.0136,default,8.9171
9.02318,-74.3486,-56.9427,default,8.95921
6.47402,-58.1854,-56.6403,default,9.9375
7.11598,-41.8006,-54.9472,default,8.5
9.30573,-22.5079,-57.1718,default,9.348
6.09518,-8.23973,-56.7602,default,9.37777
5.47535,9.88043,-55.2109,default,8.95394
8.24391,27.6465,-53.8571,default,10.1128
8.67164,45.1262,-56.1819,default,10.2821
8.61149,59.5525,-57.973,default,8.76315
8.46926,79.8464,-54.1441,default,9.33081
22.066,-64.1055,-56.8885,default,9.79249
24.0832,-50.2688,-53.688,default,8.97699
20.0578,-32.4524,-55.2811,default,9.10775
19.9833,-12.6407,-57.8077,default,9.31056
23.5401,1.12062,-56.2379,default,9.29185
23.7389,20.8023,-55.7575,default,10.1452
22.2786,38.5109,-55.715,default,10.0929
22.8479,54.2008,-54.0889,default,10.4336
22.0968,70.6442,-57.6913,default,9.08793
38.8035,-55.9629,-56.6469,default,9.06067
34.9061,-38.1022,-54.9593,default,8.60039
38.5457,-25.4688,-56.3196,default,9.04343
37.0393,-5.38715,-54.827,default,8.57831
38.4456,8.03528,-55.0195,default,9.23354
38.9179,25.2413,-54.8246,default,9.85015
36.4869,46.2296,-56.6669,default,9.17439
36.0146,60.5108,-54.0061,default,8.5
52.6587,-50.9826,-56.4724,default,8.97539
51.9003,-31.0409,-53.9052,default,9.95776
52.5396,-14.8954,-53.763,default,8.5
51.9538,-0.0779929,-54.1729,default,9.99184
50.4365,18.2076,-56.0715,default,9.0008
52.924,34.0487,-55.8525,default,9.24176
52.7328,55.0406,-56.6279,default,10.1122
64.5395,-40.8632,-56.7462,default,9.03274
67.5971,-24.9348,-56.1821,default,9.38578
67.6326,-4.61179,-54.6942,default,8.5
65.741,12.1089,-53.7646,default,9.54477
65.8272,26.482,-54.6461,default,8.5
64.4898,46.1148,-54.0877,default,9.81335
79.495,-17.0774,-56.7063,default,10.1836
82.0603,1.16048,-54.1342,default,8.92226
-87.339,-21.2044,-40.3427,default,9.37018
-83.7117,-8.57137,-40.1209,default,10.0307
-86.0366,12.2369,-39.1202,default,9.63572
-86.6688,29.2633,-38.9191,default,9.84885
-70.223,-47.6203,-39.8183,default,8.5
-71.8916,-34.293,-41.8682,default,10.2288
-71.8661,-14.4103,-41.5606,default,8.5
-72.7209,3.82389,-41.0727,default,10.2704
-70.4257,18.8437,-42.0669,default,9.73679
-69.4887,37.5616,-43.2737,default,9.92192
-72.6737,51.0324,-41.1348,default,9.59208
-56.7295,-59.3128,-40.0359,default,10.3288
-56.7253,-39.1702,-41.7862,default,9.50868
-53.8017,-25.0217,-40.3444,default,9.31218
-57.4563,-7.19447,-41.9372,default,10.0834
-54.6568,9.3984,-39.7332,default,10.2811
-55.4001,25.8247,-41.6886,default,9.89022
-57.3201,42.3971,-40.4383,default,9.6706
-53.7803,60.5905,-39.7575,default,9.62047
-40.3915,-80.4985,-40.8318,default,8.5
-41.4018,-65.9838,-38.9194,default,9.46189
-42.9009,-47.5574,-41.8215,default,8.5
-42.9674,-31.4699,-42.3279,default,8.64528
-40.1078,-13.3298,-40.7293,default,9.60474
-42.075,2.0114,-39.8614,default,9.25091
-41.7758,19.9275,-42.3552,default,8.59492
-41.3282,34.2403,-41.4646,default,8.78789
-39.8897,54.1837,-40.8712,default,9.53739
-40.7494,67.938,-42.23,default,10.3601
-27.5978,-72.6844,-42.9771,default,9.39388
-28.1389,-58.1303,-40.4029,default,10.4418
-25.0507,-38.5256,-43.04,default,9.23225
-24.549,-22.2175,-39.671,default,9.9908
-24.4384,-5.04302,-40.3278,default,8.87426
-25.4602,9.73004,-41.1855,default,8.5
-28.2194,27.0146,-41.9463,default,9.3773
-27.1138,44.2117,-41.8818,default,9.59228
-27.9601,60.5592,-40.9723,default,9.41372
-24.8054,77.2105,-41.8196,default,9.57316
-12.9458,-83.0742,-42.2233,default,8.61093
-13.1089,-67.697,-39.1017,default,10.0617
-12.254,-49.3187,-42.076,default,9.18212
-9.59978,-33.3308,-39.9162,default,9.50911
-13.4078,-15.7272,-40.6675,default,8.69144
-10.8838,0.0741679,-41.4586,default,8.66025
-12.3652,20.2436,-39.2043,default,9.95302
-9.52621,34.3289,-39.265,default,8.5
-11.0927,52.8995,-39.0658,default,10.1789
-11.1058,70.8353,-40.1804,default,9.43087
-9.77385,87.2367,-39.8671,default,8.5
2.85384,-89.5309,-42.1402,default,9.11671
4.72972,-75.0006,-41.1473,default,8.55271
2.15865,-59.8259,-39.2446,default,9.47364
3.55339,-40.628,-39.531,default,8.5
4.89916,-25.4899,-39.0563,default,9.5216
1.15622,-7.97946,-42.4616,default,10.2613
3.29397,10.3635,-41.2022,default,8.61838
4.4974,27.4667,-39.0261,default,8.90471
0.911987,42.8757,-40.0194,default,10.0973
1.22502,60.5306,-40.9848,default,8.5
4.19995,76.5228,-40.8089,default,9.14274
17.6566,-82.3757,-42.1679,default,8.5
18.4595,-65.2747,-38.9683,default,10.2625
18.1282,-46.4505,-40.5286,default,8.89095
17.7374,-31.7565,-41.3221,default,8.5
19.2418,-15.5496,-41.7576,default,9.48375
19.7647,2.02332,-42.3211,default,9.10927
17.9601,17.6295,-40.0616,default,9.27102
19.3148,37.0301,-43.2878,default,9.9124
17.0716,51.9547,-39.7982,default,10.0976
18.7888,68.4002,-40.7609,default,10.3155
16.367,87.4287,-41.2298,default,10.0767
33.0295,-75.6857,-42.571,default,8.64912
30.4353,-56.5185,-40.2728,default,9.0958
34.1525,-41.1558,-40.1444,default,10.005
33.2054,-25.415,-41.2712,default,10.1242
34.0555,-8.13325,-42.3771,default,8.5
34.3424,9.98649,-42.6377,default,8.5
33.9643,29.5344,-39.9485,default,8.93213
33.509,46.479,-38.9324,default,10.038
34.2634,59.5417,-39.838,default,9.38769
33.6537,79.8825,-40.4942,default,8.95437
47.9018,-65.2492,-41.6284,default,8.94443
47.0765,-47.7181,-39.6932,default,9.52788
47.7134,-29.8682,-39.3559,default,10.3176
46.8568,-15.1857,-42.8916,default,10.067
46.2689,3.41228,-42.3955,default,8.5
47.7142,16.6131,-43.2803,default,10.1627
46.7833,38.4757,-41.1358,default,9.52653
46.3734,51.7632,-42.8842,default,9.67637
46.937,69.3571,-39.5378,default,9.92643
60.525,-55.1084,-38.9969,default,9.8308
64.0986,-42.0239,-39.7094,default,8.94562
61.0082,-23.437,-39.6998,default,8.55006
63.9992,-7.39106,-42.5005,default,9.67674
63.9823,8.04882,-39.5191,default,10.0114
63.3148,26.3418,-42.625,default,10.0357
61.5663,42.1113,-41.5605,default,8.88075
62.1467,60.5554,-42.2004,default,9.23144
74.9126,-32.6729,-43.1412,default,9.0112
77.6674,-14.6984,-41.2798,default,8.62851
76.2244,-0.343341,-41.5903,default,10.2851
78.7959,19.9899,-42.841,default,8.99017
76.5495,34.058,-41.7206,default,9.23964
90.3873,-4.4781,-40.5319,default,8.7003
-95.2517,-13.2803,-24.7572,default,8.77145
-95.6816,1.12904,-25.6424,default,9.92316
-81.0487,-41.5664,-24.2288,default,9.90428
-81.9133,-23.4037,-27.5727,default,9.5595
-79.0703,-4.55991,-26.7144,default,10.0423
-82.8965,10.8886,-26.5122,default,10.1274
-82.6557,27.757,-24.9813,default,10.0349
-80.4063,44.6123,-28.1512,default,9.88358
-64.1501,-67.9847,-26.035,default,8.5
-64.5632,-48.9693,-25.992,default,8.77835
-64.2031,-31.1423,-25.4737,default,9.74862
-64.1852,-12.8761,-27.0439,default,9.28066
-65.8477,4.47515,-26.1198,default,8.5
-65.5186,20.4974,-26.8458,default,8.59094
-64.7555,35.2026,-27.1252,default,10.0497
-64.5742,50.6634,-26.1608,default,9.27992
-66.8181,68.7466,-26.7169,default,9.4554
-49.6126,-72.2148,-27.8335,default,8.99661
-49.6343,-58.3236,-26.4492,default,9.25063
-51.5183,-39.7653,-26.4475,default,9.3425
-52.9145,-23.2304,-28.0736,default,9.77632
-50.8356,-7.23692,-27.942,default,9.73264
-53.489,8.49869,-26.3404,default,8.9409
-51.2413,26.8153,-24.2423,default,9.14375
-49.8849,45.6832,-24.4454,default,9.78011
-50.3951,62.5937,-25.8518,default,8.75947
-51.8761,78.5868,-28.3069,default,8.72318
-36.5612,-81.9635,-26.1773,default,10.3133
-35.1186,-67.6614,-27.044,default,8.88636
-38.7878,-47.0895,-27.2707,default,10.1598
-36.1385,-30.1598,-25.7805,default,9.32899
-34.7438,-13.8239,-26.754,default,8.77558
-36.678,4.53864,-27.7921,default,8.5
-38.4474,18.3878,-27.4509,default,9.50184
-38.6239,34.7271,-24.4748,default,8.5
-38.1392,52.174,-28.2485,default,9.223
-38.6265,67.6009,-25.607,default,8.5
-35.4423,85.7452,-24.7254,default,10.2803
-22.1616,-90.923,-24.8427,default,10.3383
-20.0818,-72.1614,-27.0915,default,10.1729
-20.0742,-59.9874,-26.1794,default,9.74517
-21.9694,-40.6437,-26.677,default,8.61701
-21.7506,-21.1018,-24.7522,default,10.094
-19.931,-5.49239,-28.3544,default,8.5
-21.3148,11.7015,-25.7034,default,8.5
-22.8726,28.8553,-27.8912,default,8.64731
-21.1433,44.8122,-28.102,default,9.74786
-21.796,62.1662,-26.4303,default,9.66986
-23.2379,78.8516,-28.0391,default,9.43208
-5.59682,-80.8497,-28.4584,default,9.37792
-9.16956,-66.8985,-26.6184,default,9.47884
-8.66083,-48.6709,-24.2729,default,9.13807
-8.49633,-29.713,-25.2832,default,8.77274
-5.88593,-13.1599,-28.0137,default,9.41095
-5.273,2.10286,-27.6221,default,8.53399
-6.71341,21.3789,-25.7652,default,9.60397
-7.05923,35.1477,-27.4604,default,9.34522
-8.18402,51.4552,-26.5922,default,8.65073
-9.53472,71.9869,-24.201,default,8.6207
-9.20044,88.3003,-25.5007,default,8.64271
9.41126,-90.0826,-25.3063,default,10.3115
6.09152,-76.4381,-25.1917,default,9.7822
9.38199,-58.7326,-25.8922,default,9.33001
5.45889,-39.9542,-24.9873,default,9.62018
8.18713,-25.7348,-27.1688,default,8.72878
9.14196,-8.97796,-27.7804,default,10.2426
5.1122,9.74022,-24.8907,default,9.14542
9.33716,29.6506,-27.9936,default,10.081
6.09072,43.7085,-25.3146,default,10.3766
7.06326,63.6953,-24.5011,default,10.1832
5.80807,77.9381,-28.4844,default,9.05381
8.17679,95.7279,-26.7126,default,10.0208
22.3165,-82.5714,-25.1377,default,9.14669
23.5964,-65.6997,-25.8596,default,9.51617
23.4863,-47.0534,-27.7351,default,10.114
22.773,-31.7965,-26.0708,default,9.7203
21.8128,-16.1318,-25.5694,default,10.0142
22.3296,1.01867,-26.8838,default,9.03568
23.4044,18.1721,-28.4673,default,9.62583
23.0296,34.8937,-27.5028,default,9.48752
20.2653,51.1255,-24.3739,default,9.78732
19.9228,69.1019,-27.3735,default,9.41126
23.4892,84.4608,-24.661,default,9.48309
38.2773,-75.936,-26.9959,default,9.08221
34.8313,-56.9276,-27.2902,default,8.68961
37.4541,-39.9235,-27.2435,default,9.92192
37.5488,-23.2548,-28.0321,default,9.98008
37.3956,-7.24578,-24.6629,default,9.68117
34.7348,9.06735,-26.3174,default,8.8148
37.2796,25.3729,-24.6967,default,9.96675
36.8391,42.2221,-27.3689,default,9.84583
38.3171,63.6516,-24.9795,default,8.5
36.4603,78.9462,-24.7545,default,8.5
50.1993,-66.6778,-24.1931,default,10.2137
49.6812,-50.7923,-24.9942,default,10.1728
49.6156,-33.4501,-24.6935,default,8.55599
52.7695,-15.5536,-26.8612,default,9.21838
51.9022,1.73912,-28.4856,default,10.0155
49.8611,17.8029,-28.5635,default,9.04577
49.9547,34.9982,-24.8931,default,9.38364
53.3119,54.8861,-24.6897,default,8.65695
52.154,72.467,-27.4415,default,9.78828
66.3826,-59.0227,-28.0585,default,8.99162
66.6893,-42.2392,-24.9071,default,8.84857
67.5258,-23.1873,-24.5327,default,10.3678
65.4668,-5.39707,-26.8504,default,8.9529
66.1582,9.27373,-24.8501,default,9.2484
64.776,25.4136,-25.565,default,9.8348
66.4943,46.9982,-25.76,default,10.0347
64.942,61.8731,-27.5438,default,10.0508
79.2056,-51.2631,-25.7538,default,10.1042
81.8468,-34.1755,-24.6743,default,10.2512
80.3768,-16.9386,-25.1791,default,8.88357
79.6337,-0.262982,-26.4776,default,9.30496
83.1011,17.7949,-24.8635,default,9.79833
79.1435,33.7745,-28.3351,default,8.5
78.9457,54.5493,-26.5313,default,10.3516
-98.2453,0.925183,-12.0256,default,10.2755
-84.2257,-42.1458,-11.7495,default,9.08598
-83.9083,-23.252,-9.75055,default,10.4098
-85.2503,-7.12372,-12.5742,default,8.91246
-83.0738,11.4668,-12.1259,default,10.149
-84.7212,29.5585,-13.1183,default,8.5
-83.9718,42.137,-10.8065,default,9.39125
-70.7955,-68.4058,-9.77546,default,8.78734
-68.9679,-49.3692,-12.1125,default,9.51949
-69.5035,-32.6429,-9.82646,default,9.37135
-72.4746,-15.9198,-11.0894,default,9.40543
-70.8933,3.36646,-10.0135,default,8.76929
-68.4759,17.2165,-12.9737,default,8.58719
-69.1137,36.3313,-11.8997,default,9.59908
-71.7615,53.9384,-13.1484,default,8.9755
-53.9428,-75.453,-9.5082,default,8.85847
-56.7165,-58.0652,-12.483,default,9.39962
-57.6584,-39.0943,-10.2814,default,8.57706
-57.4144,-24.1005,-11.8577,default,8.5
-54.9527,-7.16135,-11.8177,default,9.00601
-53.8813,8.35716,-12.9015,default,10.0595
-57.49,29.9467,-13.1672,default,8.5
-54.5998,44.8418,-12.3232,default,9.28257
-57.9679,59.9397,-10.4979,default,9.74725
-42.6329,-83.4147,-13.6162,default,10.0889
-39.1054,-64.6279,-11.4012,default,9.79525
-40.945,-49.3848,-10.7006,default,8.52157
-40.9075,-32.5876,-12.3925,default,9.80366
-42.1224,-14.229,-13.6058,default,10.014
-41.2493,3.30256,-10.7602,default,9.48602
-38.9577,20.3229,-10.6542,default,10.0097
-41.8577,37.0362,-13.5607,default,9.33057
-42.902,52.0009,-12.6998,default,8.5
-42.8093,70.793,-12.6103,default,8.74544
-42.9795,85.0901,-13.8123,default,8.5
-27.6061,-93.0417,-13.6215,default,9.62079
-28.3775,-77.0486,-13.2099,default,10.1441
-24.2309,-56.2541,-11.9654,default,10.3899
-27.0806,-42.0674,-9.53317,default,10.4383
-26.4134,-22.0264,-12.3218,default,10.2193
-24.9677,-7.52181,-10.2463,default,8.54228
-24.951,9.15696,-10.0409,default,9.43114
-27.6119,28.4827,-9.97782,default,10.2555
-28.3393,42.4446,-10.7491,default,9.06343
-24.4549,59.1817,-13.1379,default,8.80537
-24.6759,77.8548,-11.9789,default,9.85517
-24.7328,94.5862,-13.7524,default,10.1999
-13.5533,-83.2642,-11.1143,default,8.5
-12.8717,-65.2204,-13.5124,default,8.5
-12.918,-48.4548,-9.53417,default,9.49539
-11.0665,-32.4761,-11.7445,default,10.4018
-9.65385,-14.0764,-10.2891,default,8.5
-10.3165,0.951775,-11.5805,default,10.2021
-10.5212,16.8304,-11.4734,default,9.08701
-11.6681,34.2643,-12.6419,default,8.56015
-9.9689,50.8699,-10.5522,default,8.54843
-10.1935,67.5805,-11.6251,default,9.0735
-11.8392,87.3975,-12.7935,default,8.5
4.54218,-91.5805,-10.6068,default,8.69412
1.73871,-76.0106,-12.4592,default,8.5
1.49129,-59.4622,-12.7083,default,8.86284
1.75312,-41.004,-13.1989,default,9.63019
1.10398,-21.2309,-10.2413,default,9.21799
0.988925,-7.54821,-12.0345,default,8.63646
3.40581,7.95431,-12.6772,default,10.1133
3.26168,25.086,-13.6281,default,9.05314
1.99401,44.0249,-10.6227,default,9.3009
2.32347,59.5027,-10.6366,default,9.45512
3.01735,76.7273,-10.15,default,8.91847
3.32027,94.2246,-11.0535,default,10.2647
18.9963,-85.2561,-10.0498,default,9.35595
16.2683,-68.134,-10.206,default,9.47166
15.9788,-51.5204,-9.77754,default,9.86583
15.6376,-33.4239,-10.1814,default,9.65096
16.2985,-16.3275,-11.5166,default,8.57311
